communities,year,total_number_of_companies,total_capital_subscribed,total_capital_paid_up
andalucia,2020,13654.0,635457.0,619582.0
andalucia,2019,15561.0,559078.0,557706.0
andalucia,2018,16018.0,712138.0,711183.0
andalucia,2017,15381.0,644403.0,639265.0
andalucia,2016,16689.0,716249.0,713072.0
andalucia,2015,15893.0,688381.0,683290.0
andalucia,2014,15541.0,731992.0,731138.0
andalucia,2013,15388.0,961516.0,960328.0
andalucia,2012,14399.0,928474.0,908075.0
andalucia,2011,13942.0,1558796.0,1542639.0
andalucia,2010,12482.0,404918.0,392195.0
andalucia,2009,12741.0,511532.0,489215.0
andalucia,2008,15826.0,775607.0,732134.0
andalucia,2007,23299.0,1774610.0,1620053.0
andalucia,2006,24297.0,1116759.0,1077096.0
andalucia,2005,23444.0,1094449.0,1037354.0
andalucia,2004,22481.0,1129318.0,1047687.0
andalucia,2003,20848.0,1027766.0,962042.0
andalucia,2002,19331.0,856419.0,840762.0
andalucia,2001,17489.0,850800.0,823389.0
andalucia,2000,16827.0,740764.0,98807218.0
aragon,2020,1543.0,174443.0,174443.0
aragon,2019,1913.0,161767.0,155767.0
aragon,2018,2016.0,84826.0,84664.0
aragon,2017,2037.0,90338.0,89880.0
aragon,2016,2526.0,168490.0,168447.0
aragon,2015,2002.0,76679.0,56233.0
aragon,2014,1933.0,68273.0,67298.0
aragon,2013,2022.0,95861.0,95421.0
aragon,2012,1981.0,113166.0,112281.0
aragon,2011,1822.0,2366355.0,2276320.0
aragon,2010,1864.0,152688.0,143418.0
aragon,2009,1843.0,105415.0,86254.0
aragon,2008,2397.0,226101.0,208890.0
aragon,2007,3716.0,315121.0,280383.0
aragon,2006,3611.0,365094.0,312539.0
aragon,2005,3239.0,201152.0,193686.0
aragon,2004,2951.0,205687.0,181465.0
aragon,2003,2787.0,192043.0,158930.0
aragon,2002,2558.0,132982.0,129968.0
aragon,2001,2632.0,144369.0,133702.0
aragon,2000,2644.0,568380.0,7805551.0
asturias,2020,1035.0,44330.0,44285.0
asturias,2019,1164.0,78419.0,78102.0
asturias,2018,1188.0,61191.0,61071.0
asturias,2017,1344.0,61833.0,61788.0
asturias,2016,1458.0,71182.0,71092.0
asturias,2015,1332.0,47346.0,47211.0
asturias,2014,1364.0,39026.0,38701.0
asturias,2013,1357.0,58493.0,57608.0
asturias,2012,1281.0,134790.0,131694.0
asturias,2011,1288.0,66316.0,66151.0
asturias,2010,1232.0,277314.0,275991.0
asturias,2009,1152.0,64112.0,63376.0
asturias,2008,1593.0,139388.0,128404.0
asturias,2007,2036.0,132778.0,118731.0
asturias,2006,2002.0,151811.0,146249.0
asturias,2005,1764.0,96358.0,82312.0
asturias,2004,1823.0,175539.0,104986.0
asturias,2003,1731.0,118033.0,106752.0
asturias,2002,1544.0,83104.0,69376.0
asturias,2001,1549.0,132021.0,77533.0
asturias,2000,1718.0,75039.0,14200648.0
baleares,2020,2571.0,204885.0,204210.0
baleares,2019,3001.0,167593.0,165001.0
baleares,2018,3293.0,239546.0,239461.0
baleares,2017,3498.0,168549.0,168469.0
baleares,2016,3589.0,498911.0,498172.0
baleares,2015,3108.0,344965.0,344830.0
baleares,2014,2887.0,148224.0,148089.0
baleares,2013,2798.0,105748.0,105313.0
baleares,2012,2547.0,70648.0,70558.0
baleares,2011,2291.0,138240.0,138102.0
baleares,2010,1972.0,150211.0,128602.0
baleares,2009,2145.0,60286.0,54860.0
baleares,2008,2981.0,145068.0,117894.0
baleares,2007,4299.0,191868.0,162846.0
baleares,2006,4662.0,223531.0,217027.0
baleares,2005,4453.0,354940.0,319107.0
baleares,2004,4025.0,220382.0,206230.0
baleares,2003,3609.0,189019.0,188580.0
baleares,2002,3351.0,182006.0,181402.0
baleares,2001,3533.0,242497.0,237853.0
baleares,2000,3652.0,169374.0,14601688.0
canarias,2020,2661.0,249958.0,249661.0
canarias,2019,3385.0,127270.0,126535.0
canarias,2018,3639.0,92057.0,90842.0
canarias,2017,3851.0,186423.0,186258.0
canarias,2016,3815.0,204789.0,204608.0
canarias,2015,3577.0,93740.0,93550.0
canarias,2014,3486.0,81232.0,80924.0
canarias,2013,3424.0,157837.0,157747.0
canarias,2012,3189.0,86842.0,86602.0
canarias,2011,3168.0,67172.0,67107.0
canarias,2010,2774.0,157136.0,156925.0
canarias,2009,2807.0,78491.0,73528.0
canarias,2008,3778.0,87567.0,87325.0
canarias,2007,5408.0,185892.0,185211.0
canarias,2006,5828.0,215351.0,212809.0
canarias,2005,5715.0,217610.0,212571.0
canarias,2004,5799.0,201273.0,200036.0
canarias,2003,5559.0,241996.0,224894.0
canarias,2002,5332.0,217992.0,213242.0
canarias,2001,5921.0,396952.0,364474.0
canarias,2000,6406.0,330887.0,25203262.0
cantabria,2020,592.0,23274.0,23274.0
cantabria,2019,642.0,24272.0,24272.0
cantabria,2018,754.0,48402.0,48402.0
cantabria,2017,762.0,16607.0,16607.0
cantabria,2016,981.0,20253.0,20253.0
cantabria,2015,805.0,20578.0,20488.0
cantabria,2014,819.0,67604.0,67604.0
cantabria,2013,800.0,36160.0,36160.0
cantabria,2012,696.0,13739.0,12239.0
cantabria,2011,723.0,31624.0,31579.0
cantabria,2010,735.0,22418.0,22326.0
cantabria,2009,670.0,17008.0,13331.0
cantabria,2008,850.0,26955.0,26819.0
cantabria,2007,1234.0,61975.0,57467.0
cantabria,2006,1362.0,43683.0,43452.0
cantabria,2005,1195.0,51988.0,50833.0
cantabria,2004,1036.0,31646.0,31061.0
cantabria,2003,1014.0,34190.0,33868.0
cantabria,2002,892.0,45923.0,45859.0
cantabria,2001,961.0,482264.0,480668.0
cantabria,2000,924.0,33670.0,8000335.0
castilla_y_leon,2020,2188.0,123995.0,123980.0
castilla_y_leon,2019,2811.0,167615.0,167526.0
castilla_y_leon,2018,2731.0,141780.0,141735.0
castilla_y_leon,2017,2857.0,147179.0,146374.0
castilla_y_leon,2016,3014.0,196911.0,196911.0
castilla_y_leon,2015,2847.0,86384.0,86237.0
castilla_y_leon,2014,3001.0,363292.0,362347.0
castilla_y_leon,2013,3168.0,240243.0,239798.0
castilla_y_leon,2012,2817.0,109421.0,109188.0
castilla_y_leon,2011,2968.0,202039.0,201924.0
castilla_y_leon,2010,3155.0,178998.0,170966.0
castilla_y_leon,2009,3024.0,147387.0,146555.0
castilla_y_leon,2008,3833.0,271007.0,267919.0
castilla_y_leon,2007,5662.0,336405.0,303606.0
castilla_y_leon,2006,5452.0,384358.0,309816.0
castilla_y_leon,2005,4599.0,328165.0,290032.0
castilla_y_leon,2004,4434.0,307556.0,282421.0
castilla_y_leon,2003,4225.0,219711.0,210042.0
castilla_y_leon,2002,3892.0,231262.0,209990.0
castilla_y_leon,2001,3808.0,226076.0,222496.0
castilla_y_leon,2000,4066.0,223342.0,15202145.0
castilla_la_mancha,2020,2232.0,54164.0,54059.0
castilla_la_mancha,2019,2739.0,109297.0,109202.0
castilla_la_mancha,2018,2836.0,157701.0,157611.0
castilla_la_mancha,2017,2618.0,67132.0,67087.0
castilla_la_mancha,2016,2976.0,72233.0,71933.0
castilla_la_mancha,2015,2732.0,85899.0,67972.0
castilla_la_mancha,2014,2812.0,77385.0,77224.0
castilla_la_mancha,2013,3121.0,116852.0,115557.0
castilla_la_mancha,2012,2863.0,99964.0,99664.0
castilla_la_mancha,2011,2791.0,72536.0,71890.0
castilla_la_mancha,2010,2722.0,680484.0,679306.0
castilla_la_mancha,2009,2742.0,115331.0,114894.0
castilla_la_mancha,2008,4911.0,101085.0,99838.0
castilla_la_mancha,2007,5916.0,265566.0,233271.0
castilla_la_mancha,2006,5843.0,251679.0,227396.0
castilla_la_mancha,2005,5146.0,266255.0,260611.0
castilla_la_mancha,2004,4542.0,148793.0,145287.0
castilla_la_mancha,2003,4007.0,192898.0,164027.0
castilla_la_mancha,2002,3601.0,108521.0,106445.0
castilla_la_mancha,2001,3479.0,115837.0,110094.0
castilla_la_mancha,2000,3611.0,118185.0,18801154.0
catalunia,2020,15023.0,901428.0,897221.0
catalunia,2019,18139.0,1143436.0,1141905.0
catalunia,2018,17555.0,735932.0,734456.0
catalunia,2017,18504.0,1025095.0,1014422.0
catalunia,2016,21769.0,950541.0,945814.0
catalunia,2015,18894.0,840417.0,834610.0
catalunia,2014,17664.0,738245.0,709413.0
catalunia,2013,17707.0,1558588.0,1556379.0
catalunia,2012,16201.0,885664.0,882871.0
catalunia,2011,15641.0,587075.0,575277.0
catalunia,2010,14382.0,648215.0,618596.0
catalunia,2009,14612.0,1054527.0,993815.0
catalunia,2008,18751.0,912587.0,866733.0
catalunia,2007,25482.0,1956570.0,1874878.0
catalunia,2006,27753.0,1688023.0,1513993.0
catalunia,2005,26561.0,1510233.0,1459601.0
catalunia,2004,24558.0,1585415.0,2625935.0
catalunia,2003,23841.0,1702551.0,1491650.0
catalunia,2002,21689.0,1808567.0,1755485.0
catalunia,2001,21988.0,1858896.0,1791608.0
catalunia,2000,22865.0,1699040.0,129616687.0
valencia,2020,9507.0,439213.0,438010.0
valencia,2019,10975.0,1120314.0,1120134.0
valencia,2018,11144.0,803695.0,801925.0
valencia,2017,10845.0,752579.0,752294.0
valencia,2016,11148.0,753292.0,752362.0
valencia,2015,10991.0,578110.0,577890.0
valencia,2014,11206.0,366128.0,363499.0
valencia,2013,11077.0,595888.0,593501.0
valencia,2012,10336.0,598584.0,597004.0
valencia,2011,9758.0,530451.0,526523.0
valencia,2010,9356.0,847047.0,839488.0
valencia,2009,8822.0,392614.0,391378.0
valencia,2008,11901.0,1394399.0,1371690.0
valencia,2007,16371.0,729566.0,695177.0
valencia,2006,17825.0,949581.0,924718.0
valencia,2005,17136.0,1126338.0,1050632.0
valencia,2004,16011.0,847834.0,794855.0
valencia,2003,14393.0,708001.0,672134.0
valencia,2002,13224.0,557105.0,534274.0
valencia,2001,12526.0,614785.0,590810.0
valencia,2000,12795.0,600757.0,29805828.0
extremadura,2020,1014.0,56380.0,56335.0
extremadura,2019,1136.0,26978.0,26978.0
extremadura,2018,1138.0,51937.0,51937.0
extremadura,2017,1151.0,64104.0,64104.0
extremadura,2016,1248.0,74082.0,67980.0
extremadura,2015,1165.0,122197.0,121987.0
extremadura,2014,1186.0,43848.0,43848.0
extremadura,2013,1141.0,31767.0,31767.0
extremadura,2012,1155.0,39658.0,39658.0
extremadura,2011,1138.0,82756.0,82353.0
extremadura,2010,1127.0,35202.0,34951.0
extremadura,2009,1119.0,27903.0,23684.0
extremadura,2008,1644.0,50307.0,45565.0
extremadura,2007,2333.0,154722.0,154244.0
extremadura,2006,2601.0,106466.0,105723.0
extremadura,2005,1682.0,78983.0,71126.0
extremadura,2004,1455.0,66656.0,65659.0
extremadura,2003,1403.0,47932.0,46187.0
extremadura,2002,1315.0,58406.0,54837.0
extremadura,2001,1239.0,94251.0,92264.0
extremadura,2000,1258.0,63687.0,6700555.0
galicia,2020,3212.0,364637.0,364507.0
galicia,2019,3772.0,373797.0,373717.0
galicia,2018,4025.0,271507.0,271280.0
galicia,2017,4068.0,317134.0,316900.0
galicia,2016,4533.0,204576.0,204287.0
galicia,2015,3968.0,368693.0,368393.0
galicia,2014,4266.0,238305.0,237645.0
galicia,2013,4276.0,245896.0,244895.0
galicia,2012,4143.0,229685.0,229280.0
galicia,2011,4086.0,477676.0,414233.0
galicia,2010,4041.0,140190.0,139064.0
galicia,2009,3836.0,170203.0,162651.0
galicia,2008,5425.0,807615.0,730612.0
galicia,2007,6678.0,884914.0,717670.0
galicia,2006,6998.0,405558.0,387514.0
galicia,2005,6457.0,399013.0,379468.0
galicia,2004,6041.0,307361.0,304122.0
galicia,2003,5485.0,268426.0,263347.0
galicia,2002,4997.0,257940.0,252099.0
galicia,2001,4788.0,346117.0,340982.0
galicia,2000,5183.0,247988.0,36002314.0
madrid,2020,17965.0,1336739.0,1320798.0
madrid,2019,21784.0,1038905.0,1014632.0
madrid,2018,21637.0,1172567.0,1123078.0
madrid,2017,20415.0,1256415.0,1233547.0
madrid,2016,19924.0,1895965.0,1858232.0
madrid,2015,19947.0,3608403.0,3599929.0
madrid,2014,20268.0,3266261.0,3233550.0
madrid,2013,19646.0,1986131.0,1948221.0
madrid,2012,18278.0,3736839.0,3609418.0
madrid,2011,18045.0,14750098.0,14718710.0
madrid,2010,17215.0,2846735.0,2808695.0
madrid,2009,15921.0,1467491.0,1401874.0
madrid,2008,20254.0,2526445.0,2345704.0
madrid,2007,27239.0,5463624.0,4836990.0
madrid,2006,27469.0,3410107.0,3138317.0
madrid,2005,25321.0,3442646.0,3142311.0
madrid,2004,24484.0,2880900.0,2683124.0
madrid,2003,24216.0,2505887.0,2418048.0
madrid,2002,23184.0,4698077.0,4188002.0
madrid,2001,20834.0,8345179.0,7764883.0
madrid,2000,23299.0,5069636.0,106846697.0
murcia,2020,2263.0,144704.0,144704.0
murcia,2019,2421.0,103522.0,103342.0
murcia,2018,2603.0,99688.0,99598.0
murcia,2017,2641.0,119999.0,119774.0
murcia,2016,2776.0,183137.0,183137.0
murcia,2015,2796.0,173613.0,173523.0
murcia,2014,2732.0,177834.0,177504.0
murcia,2013,2894.0,135104.0,135059.0
murcia,2012,2763.0,219577.0,219577.0
murcia,2011,2624.0,107014.0,106654.0
murcia,2010,2277.0,81674.0,81542.0
murcia,2009,2349.0,220805.0,192976.0
murcia,2008,3251.0,103565.0,103219.0
murcia,2007,4606.0,396502.0,378625.0
murcia,2006,5174.0,300241.0,299908.0
murcia,2005,4961.0,592551.0,578223.0
murcia,2004,4121.0,213950.0,209375.0
murcia,2003,3825.0,212240.0,210884.0
murcia,2002,3321.0,163780.0,162339.0
murcia,2001,3112.0,180800.0,177850.0
murcia,2000,2774.0,205831.0,16002038.0
navarra,2020,633.0,42077.0,42077.0
navarra,2019,785.0,85288.0,85288.0
navarra,2018,834.0,226711.0,226336.0
navarra,2017,838.0,60704.0,60654.0
navarra,2016,831.0,23901.0,23901.0
navarra,2015,820.0,26809.0,26319.0
navarra,2014,905.0,69659.0,64132.0
navarra,2013,822.0,34122.0,33196.0
navarra,2012,939.0,97043.0,95743.0
navarra,2011,903.0,102464.0,102419.0
navarra,2010,963.0,66428.0,66301.0
navarra,2009,943.0,57681.0,38840.0
navarra,2008,1399.0,89534.0,87603.0
navarra,2007,1781.0,114330.0,102684.0
navarra,2006,1692.0,232540.0,221555.0
navarra,2005,1462.0,95572.0,91162.0
navarra,2004,1401.0,99341.0,92791.0
navarra,2003,1367.0,98412.0,92952.0
navarra,2002,1329.0,352687.0,338433.0
navarra,2001,1251.0,62198.0,59382.0
navarra,2000,1526.0,91985.0,2500834.0
pais_vasco,2020,2604.0,102883.0,101570.0
pais_vasco,2019,3091.0,223352.0,221252.0
pais_vasco,2018,3075.0,257129.0,253214.0
pais_vasco,2017,2961.0,248471.0,230140.0
pais_vasco,2016,3008.0,208154.0,208154.0
pais_vasco,2015,3137.0,142917.0,142122.0
pais_vasco,2014,3447.0,863128.0,862902.0
pais_vasco,2013,3203.0,345747.0,343615.0
pais_vasco,2012,3001.0,246629.0,222698.0
pais_vasco,2011,3104.0,190962.0,184387.0
pais_vasco,2010,3146.0,1295670.0,1285301.0
pais_vasco,2009,2954.0,277495.0,276753.0
pais_vasco,2008,4079.0,372316.0,363479.0
pais_vasco,2007,5679.0,695921.0,692903.0
pais_vasco,2006,5479.0,703760.0,697306.0
pais_vasco,2005,4941.0,631258.0,629808.0
pais_vasco,2004,4965.0,580780.0,546924.0
pais_vasco,2003,4625.0,628079.0,615064.0
pais_vasco,2002,4445.0,448731.0,431814.0
pais_vasco,2001,4783.0,727518.0,663662.0
pais_vasco,2000,5212.0,751744.0,28407231.0
la_rioja,2020,351.0,12333.0,12333.0
la_rioja,2019,443.0,47001.0,43046.0
la_rioja,2018,405.0,40036.0,40036.0
la_rioja,2017,408.0,33231.0,33231.0
la_rioja,2016,571.0,46905.0,45905.0
la_rioja,2015,425.0,49228.0,48728.0
la_rioja,2014,448.0,65669.0,65669.0
la_rioja,2013,410.0,17042.0,17042.0
la_rioja,2012,439.0,11549.0,11549.0
la_rioja,2011,382.0,52287.0,52287.0
la_rioja,2010,402.0,11686.0,11640.0
la_rioja,2009,380.0,21008.0,20508.0
la_rioja,2008,567.0,15870.0,14579.0
la_rioja,2007,842.0,70943.0,67858.0
la_rioja,2006,715.0,20680.0,20499.0
la_rioja,2005,698.0,46810.0,46435.0
la_rioja,2004,679.0,46645.0,44410.0
la_rioja,2003,604.0,21492.0,20625.0
la_rioja,2002,543.0,51088.0,44985.0
la_rioja,2001,525.0,78576.0,44696.0
la_rioja,2000,541.0,34035.0,3800339.0
ceuta,2020,57.0,1012.0,1012.0
ceuta,2019,87.0,2125.0,2125.0
ceuta,2018,98.0,1626.0,1626.0
ceuta,2017,71.0,435.0,435.0
ceuta,2016,82.0,1820.0,1820.0
ceuta,2015,107.0,582.0,582.0
ceuta,2014,97.0,1351.0,1351.0
ceuta,2013,88.0,3342.0,3342.0
ceuta,2012,85.0,2156.0,2156.0
ceuta,2011,62.0,487.0,487.0
ceuta,2010,89.0,2067.0,2067.0
ceuta,2009,68.0,2185.0,2185.0
ceuta,2008,73.0,965.0,965.0
ceuta,2007,86.0,916.0,916.0
ceuta,2006,106.0,4221.0,4221.0
ceuta,2005,118.0,43508.0,21871.0
ceuta,2004,103.0,3041.0,2681.0
ceuta,2003,125.0,16594.0,16594.0
ceuta,2002,117.0,4488.0,4443.0
ceuta,2001,148.0,6403.0,6028.0
ceuta,2000,120.0,6647.0,1100055.0
melilla,2020,96.0,570.0,570.0
melilla,2019,94.0,3505.0,3505.0
melilla,2018,132.0,2313.0,2313.0
melilla,2017,123.0,1795.0,1795.0
melilla,2016,109.0,986.0,986.0
melilla,2015,98.0,1010.0,1010.0
melilla,2014,97.0,845.0,845.0
melilla,2013,78.0,1311.0,1311.0
melilla,2012,71.0,5286.0,5286.0
melilla,2011,77.0,832.0,832.0
melilla,2010,61.0,1660.0,1660.0
melilla,2009,77.0,806.0,806.0
melilla,2008,53.0,581.0,581.0
melilla,2007,96.0,1002.0,1002.0
melilla,2006,95.0,2754.0,2754.0
melilla,2005,91.0,6036.0,5798.0
melilla,2004,86.0,665.0,665.0
melilla,2003,88.0,3790.0,3790.0
melilla,2002,76.0,2158.0,2068.0
melilla,2001,82.0,950.0,920.0
melilla,2000,72.0,1106.0,300011.0
