communities,ecoicop_groups,data_type,year,consumer_price_index_cpi
andalucia,indice general,media anual,2021,100.0
andalucia,indice general,media anual,2020,96.956
andalucia,indice general,media anual,2019,97.157
andalucia,indice general,media anual,2018,96.681
andalucia,indice general,media anual,2017,95.182
andalucia,indice general,media anual,2016,93.366
andalucia,indice general,media anual,2015,93.538
andalucia,indice general,media anual,2014,94.053
andalucia,indice general,media anual,2013,94.314
andalucia,indice general,media anual,2012,93.128
andalucia,indice general,media anual,2011,91.159
andalucia,indice general,media anual,2010,88.314
andalucia,indice general,media anual,2009,86.76
andalucia,indice general,media anual,2008,87.164
andalucia,indice general,media anual,2007,83.804
andalucia,indice general,media anual,2006,81.548
andalucia,indice general,media anual,2005,78.767
andalucia,indice general,media anual,2004,76.261
andalucia,indice general,media anual,2003,74.052
andalucia,indice general,media anual,2002,71.902
aragon,indice general,media anual,2021,100.0
aragon,indice general,media anual,2020,96.683
aragon,indice general,media anual,2019,97.156
aragon,indice general,media anual,2018,96.494
aragon,indice general,media anual,2017,94.91
aragon,indice general,media anual,2016,93.223
aragon,indice general,media anual,2015,93.459
aragon,indice general,media anual,2014,94.138
aragon,indice general,media anual,2013,94.425
aragon,indice general,media anual,2012,93.204
aragon,indice general,media anual,2011,91.052
aragon,indice general,media anual,2010,88.257
aragon,indice general,media anual,2009,86.701
aragon,indice general,media anual,2008,87.049
aragon,indice general,media anual,2007,83.354
aragon,indice general,media anual,2006,80.991
aragon,indice general,media anual,2005,78.084
aragon,indice general,media anual,2004,75.465
aragon,indice general,media anual,2003,73.446
aragon,indice general,media anual,2002,71.35
asturias,indice general,media anual,2021,100.0
asturias,indice general,media anual,2020,97.059
asturias,indice general,media anual,2019,97.553
asturias,indice general,media anual,2018,97.096
asturias,indice general,media anual,2017,95.628
asturias,indice general,media anual,2016,93.955
asturias,indice general,media anual,2015,94.057
asturias,indice general,media anual,2014,94.666
asturias,indice general,media anual,2013,94.977
asturias,indice general,media anual,2012,93.693
asturias,indice general,media anual,2011,91.612
asturias,indice general,media anual,2010,88.469
asturias,indice general,media anual,2009,86.768
asturias,indice general,media anual,2008,87.156
asturias,indice general,media anual,2007,83.609
asturias,indice general,media anual,2006,81.478
asturias,indice general,media anual,2005,78.861
asturias,indice general,media anual,2004,76.495
asturias,indice general,media anual,2003,74.325
asturias,indice general,media anual,2002,72.182
baleares,indice general,media anual,2021,100.0
baleares,indice general,media anual,2020,96.789
baleares,indice general,media anual,2019,97.08
baleares,indice general,media anual,2018,96.614
baleares,indice general,media anual,2017,95.198
baleares,indice general,media anual,2016,93.214
baleares,indice general,media anual,2015,93.342
baleares,indice general,media anual,2014,93.438
baleares,indice general,media anual,2013,93.246
baleares,indice general,media anual,2012,91.818
baleares,indice general,media anual,2011,89.579
baleares,indice general,media anual,2010,87.091
baleares,indice general,media anual,2009,85.633
baleares,indice general,media anual,2008,85.78
baleares,indice general,media anual,2007,82.613
baleares,indice general,media anual,2006,80.47
baleares,indice general,media anual,2005,77.771
baleares,indice general,media anual,2004,75.441
baleares,indice general,media anual,2003,73.424
baleares,indice general,media anual,2002,71.304
canarias,indice general,media anual,2021,100.0
canarias,indice general,media anual,2020,97.828
canarias,indice general,media anual,2019,97.298
canarias,indice general,media anual,2018,96.979
canarias,indice general,media anual,2017,95.506
canarias,indice general,media anual,2016,93.82
canarias,indice general,media anual,2015,94.04
canarias,indice general,media anual,2014,94.796
canarias,indice general,media anual,2013,95.238
canarias,indice general,media anual,2012,94.543
canarias,indice general,media anual,2011,92.663
canarias,indice general,media anual,2010,90.314
canarias,indice general,media anual,2009,89.45
canarias,indice general,media anual,2008,90.363
canarias,indice general,media anual,2007,86.54
canarias,indice general,media anual,2006,84.569
canarias,indice general,media anual,2005,82.196
canarias,indice general,media anual,2004,80.196
canarias,indice general,media anual,2003,78.418
canarias,indice general,media anual,2002,76.695
cantabria,indice general,media anual,2021,100.0
cantabria,indice general,media anual,2020,96.847
cantabria,indice general,media anual,2019,97.183
cantabria,indice general,media anual,2018,96.52
cantabria,indice general,media anual,2017,94.893
cantabria,indice general,media anual,2016,93.051
cantabria,indice general,media anual,2015,93.379
cantabria,indice general,media anual,2014,94.192
cantabria,indice general,media anual,2013,94.424
cantabria,indice general,media anual,2012,92.463
cantabria,indice general,media anual,2011,90.124
cantabria,indice general,media anual,2010,87.156
cantabria,indice general,media anual,2009,85.545
cantabria,indice general,media anual,2008,85.831
cantabria,indice general,media anual,2007,82.265
cantabria,indice general,media anual,2006,80.066
cantabria,indice general,media anual,2005,77.347
cantabria,indice general,media anual,2004,74.965
cantabria,indice general,media anual,2003,72.961
cantabria,indice general,media anual,2002,71.025
castilla_y_leon,indice general,media anual,2021,100.0
castilla_y_leon,indice general,media anual,2020,96.605
castilla_y_leon,indice general,media anual,2019,97.142
castilla_y_leon,indice general,media anual,2018,96.333
castilla_y_leon,indice general,media anual,2017,94.693
castilla_y_leon,indice general,media anual,2016,92.718
castilla_y_leon,indice general,media anual,2015,93.076
castilla_y_leon,indice general,media anual,2014,93.934
castilla_y_leon,indice general,media anual,2013,94.11
castilla_y_leon,indice general,media anual,2012,92.691
castilla_y_leon,indice general,media anual,2011,90.173
castilla_y_leon,indice general,media anual,2010,87.161
castilla_y_leon,indice general,media anual,2009,85.539
castilla_y_leon,indice general,media anual,2008,86.154
castilla_y_leon,indice general,media anual,2007,82.664
castilla_y_leon,indice general,media anual,2006,80.399
castilla_y_leon,indice general,media anual,2005,77.635
castilla_y_leon,indice general,media anual,2004,75.162
castilla_y_leon,indice general,media anual,2003,73.113
castilla_y_leon,indice general,media anual,2002,71.181
castilla_la_mancha,indice general,media anual,2021,100.0
castilla_la_mancha,indice general,media anual,2020,96.441
castilla_la_mancha,indice general,media anual,2019,96.992
castilla_la_mancha,indice general,media anual,2018,96.415
castilla_la_mancha,indice general,media anual,2017,94.656
castilla_la_mancha,indice general,media anual,2016,92.757
castilla_la_mancha,indice general,media anual,2015,93.216
castilla_la_mancha,indice general,media anual,2014,94.141
castilla_la_mancha,indice general,media anual,2013,94.551
castilla_la_mancha,indice general,media anual,2012,93.333
castilla_la_mancha,indice general,media anual,2011,91.147
castilla_la_mancha,indice general,media anual,2010,87.933
castilla_la_mancha,indice general,media anual,2009,86.235
castilla_la_mancha,indice general,media anual,2008,87.238
castilla_la_mancha,indice general,media anual,2007,83.653
castilla_la_mancha,indice general,media anual,2006,81.515
castilla_la_mancha,indice general,media anual,2005,78.637
castilla_la_mancha,indice general,media anual,2004,76.009
castilla_la_mancha,indice general,media anual,2003,73.724
castilla_la_mancha,indice general,media anual,2002,71.664
catalunia,indice general,media anual,2021,100.0
catalunia,indice general,media anual,2020,97.162
catalunia,indice general,media anual,2019,97.568
catalunia,indice general,media anual,2018,96.739
catalunia,indice general,media anual,2017,94.993
catalunia,indice general,media anual,2016,92.956
catalunia,indice general,media anual,2015,92.899
catalunia,indice general,media anual,2014,93.061
catalunia,indice general,media anual,2013,92.935
catalunia,indice general,media anual,2012,91.357
catalunia,indice general,media anual,2011,88.797
catalunia,indice general,media anual,2010,85.998
catalunia,indice general,media anual,2009,84.281
catalunia,indice general,media anual,2008,84.146
catalunia,indice general,media anual,2007,80.841
catalunia,indice general,media anual,2006,78.513
catalunia,indice general,media anual,2005,75.734
catalunia,indice general,media anual,2004,72.879
catalunia,indice general,media anual,2003,70.433
catalunia,indice general,media anual,2002,68.04
valencia,indice general,media anual,2021,100.0
valencia,indice general,media anual,2020,96.809
valencia,indice general,media anual,2019,97.2
valencia,indice general,media anual,2018,96.687
valencia,indice general,media anual,2017,95.041
valencia,indice general,media anual,2016,93.263
valencia,indice general,media anual,2015,93.69
valencia,indice general,media anual,2014,94.053
valencia,indice general,media anual,2013,94.288
valencia,indice general,media anual,2012,93.099
valencia,indice general,media anual,2011,90.876
valencia,indice general,media anual,2010,88.148
valencia,indice general,media anual,2009,86.743
valencia,indice general,media anual,2008,86.949
valencia,indice general,media anual,2007,83.6
valencia,indice general,media anual,2006,81.303
valencia,indice general,media anual,2005,78.638
valencia,indice general,media anual,2004,76.084
valencia,indice general,media anual,2003,73.869
valencia,indice general,media anual,2002,71.8
extremadura,indice general,media anual,2021,100.0
extremadura,indice general,media anual,2020,96.756
extremadura,indice general,media anual,2019,96.927
extremadura,indice general,media anual,2018,96.389
extremadura,indice general,media anual,2017,94.914
extremadura,indice general,media anual,2016,93.351
extremadura,indice general,media anual,2015,93.584
extremadura,indice general,media anual,2014,94.392
extremadura,indice general,media anual,2013,94.921
extremadura,indice general,media anual,2012,93.691
extremadura,indice general,media anual,2011,91.543
extremadura,indice general,media anual,2010,88.676
extremadura,indice general,media anual,2009,87.168
extremadura,indice general,media anual,2008,87.577
extremadura,indice general,media anual,2007,84.122
extremadura,indice general,media anual,2006,81.926
extremadura,indice general,media anual,2005,79.516
extremadura,indice general,media anual,2004,77.349
extremadura,indice general,media anual,2003,75.465
extremadura,indice general,media anual,2002,73.651
galicia,indice general,media anual,2021,100.0
galicia,indice general,media anual,2020,96.613
galicia,indice general,media anual,2019,96.942
galicia,indice general,media anual,2018,96.398
galicia,indice general,media anual,2017,94.828
galicia,indice general,media anual,2016,92.864
galicia,indice general,media anual,2015,93.147
galicia,indice general,media anual,2014,93.815
galicia,indice general,media anual,2013,93.803
galicia,indice general,media anual,2012,92.432
galicia,indice general,media anual,2011,90.292
galicia,indice general,media anual,2010,87.341
galicia,indice general,media anual,2009,85.734
galicia,indice general,media anual,2008,86.238
galicia,indice general,media anual,2007,82.756
galicia,indice general,media anual,2006,80.776
galicia,indice general,media anual,2005,78.026
galicia,indice general,media anual,2004,75.492
galicia,indice general,media anual,2003,73.288
galicia,indice general,media anual,2002,71.109
madrid,indice general,media anual,2021,100.0
madrid,indice general,media anual,2020,97.338
madrid,indice general,media anual,2019,97.683
madrid,indice general,media anual,2018,96.755
madrid,indice general,media anual,2017,95.151
madrid,indice general,media anual,2016,93.475
madrid,indice general,media anual,2015,93.721
madrid,indice general,media anual,2014,94.16
madrid,indice general,media anual,2013,94.324
madrid,indice general,media anual,2012,93.122
madrid,indice general,media anual,2011,90.962
madrid,indice general,media anual,2010,88.23
madrid,indice general,media anual,2009,86.631
madrid,indice general,media anual,2008,86.688
madrid,indice general,media anual,2007,83.449
madrid,indice general,media anual,2006,81.193
madrid,indice general,media anual,2005,78.414
madrid,indice general,media anual,2004,76.031
madrid,indice general,media anual,2003,73.82
madrid,indice general,media anual,2002,71.661
murcia,indice general,media anual,2021,100.0
murcia,indice general,media anual,2020,97.095
murcia,indice general,media anual,2019,97.345
murcia,indice general,media anual,2018,96.951
murcia,indice general,media anual,2017,95.612
murcia,indice general,media anual,2016,94.159
murcia,indice general,media anual,2015,94.356
murcia,indice general,media anual,2014,94.939
murcia,indice general,media anual,2013,95.267
murcia,indice general,media anual,2012,93.701
murcia,indice general,media anual,2011,91.579
murcia,indice general,media anual,2010,88.811
murcia,indice general,media anual,2009,87.308
murcia,indice general,media anual,2008,87.844
murcia,indice general,media anual,2007,84.491
murcia,indice general,media anual,2006,81.973
murcia,indice general,media anual,2005,79.057
murcia,indice general,media anual,2004,76.427
murcia,indice general,media anual,2003,73.935
murcia,indice general,media anual,2002,71.303
navarra,indice general,media anual,2021,100.0
navarra,indice general,media anual,2020,96.73
navarra,indice general,media anual,2019,97.297
navarra,indice general,media anual,2018,96.168
navarra,indice general,media anual,2017,94.554
navarra,indice general,media anual,2016,93.087
navarra,indice general,media anual,2015,93.064
navarra,indice general,media anual,2014,93.666
navarra,indice general,media anual,2013,94.108
navarra,indice general,media anual,2012,92.966
navarra,indice general,media anual,2011,90.634
navarra,indice general,media anual,2010,87.841
navarra,indice general,media anual,2009,86.465
navarra,indice general,media anual,2008,86.971
navarra,indice general,media anual,2007,83.705
navarra,indice general,media anual,2006,81.714
navarra,indice general,media anual,2005,79.116
navarra,indice general,media anual,2004,76.533
navarra,indice general,media anual,2003,74.29
navarra,indice general,media anual,2002,72.074
pais_vasco,indice general,media anual,2021,100.0
pais_vasco,indice general,media anual,2020,97.002
pais_vasco,indice general,media anual,2019,97.136
pais_vasco,indice general,media anual,2018,96.215
pais_vasco,indice general,media anual,2017,94.7
pais_vasco,indice general,media anual,2016,92.858
pais_vasco,indice general,media anual,2015,92.845
pais_vasco,indice general,media anual,2014,93.093
pais_vasco,indice general,media anual,2013,92.943
pais_vasco,indice general,media anual,2012,91.502
pais_vasco,indice general,media anual,2011,89.434
pais_vasco,indice general,media anual,2010,86.749
pais_vasco,indice general,media anual,2009,85.306
pais_vasco,indice general,media anual,2008,85.077
pais_vasco,indice general,media anual,2007,81.723
pais_vasco,indice general,media anual,2006,79.46
pais_vasco,indice general,media anual,2005,76.844
pais_vasco,indice general,media anual,2004,74.393
pais_vasco,indice general,media anual,2003,72.204
pais_vasco,indice general,media anual,2002,70.221
la_rioja,indice general,media anual,2021,100.0
la_rioja,indice general,media anual,2020,96.862
la_rioja,indice general,media anual,2019,97.418
la_rioja,indice general,media anual,2018,96.543
la_rioja,indice general,media anual,2017,95.086
la_rioja,indice general,media anual,2016,93.286
la_rioja,indice general,media anual,2015,93.616
la_rioja,indice general,media anual,2014,93.984
la_rioja,indice general,media anual,2013,94.133
la_rioja,indice general,media anual,2012,92.946
la_rioja,indice general,media anual,2011,90.635
la_rioja,indice general,media anual,2010,87.604
la_rioja,indice general,media anual,2009,86.163
la_rioja,indice general,media anual,2008,86.575
la_rioja,indice general,media anual,2007,83.163
la_rioja,indice general,media anual,2006,80.878
la_rioja,indice general,media anual,2005,77.762
la_rioja,indice general,media anual,2004,74.978
la_rioja,indice general,media anual,2003,72.93
la_rioja,indice general,media anual,2002,70.579
ceuta,indice general,media anual,2021,100.0
ceuta,indice general,media anual,2020,97.423
ceuta,indice general,media anual,2019,97.832
ceuta,indice general,media anual,2018,97.523
ceuta,indice general,media anual,2017,96.755
ceuta,indice general,media anual,2016,95.261
ceuta,indice general,media anual,2015,95.411
ceuta,indice general,media anual,2014,96.139
ceuta,indice general,media anual,2013,96.235
ceuta,indice general,media anual,2012,95.573
ceuta,indice general,media anual,2011,93.643
ceuta,indice general,media anual,2010,91.474
ceuta,indice general,media anual,2009,90.086
ceuta,indice general,media anual,2008,89.603
ceuta,indice general,media anual,2007,86.331
ceuta,indice general,media anual,2006,84.694
ceuta,indice general,media anual,2005,82.044
ceuta,indice general,media anual,2004,80.004
ceuta,indice general,media anual,2003,77.3
ceuta,indice general,media anual,2002,74.681
melilla,indice general,media anual,2021,100.0
melilla,indice general,media anual,2020,96.257
melilla,indice general,media anual,2019,96.174
melilla,indice general,media anual,2018,96.482
melilla,indice general,media anual,2017,95.561
melilla,indice general,media anual,2016,93.58
melilla,indice general,media anual,2015,93.656
melilla,indice general,media anual,2014,94.163
melilla,indice general,media anual,2013,94.564
melilla,indice general,media anual,2012,94.447
melilla,indice general,media anual,2011,92.914
melilla,indice general,media anual,2010,90.822
melilla,indice general,media anual,2009,88.951
melilla,indice general,media anual,2008,88.859
melilla,indice general,media anual,2007,85.511
melilla,indice general,media anual,2006,83.26
melilla,indice general,media anual,2005,79.752
melilla,indice general,media anual,2004,77.4
melilla,indice general,media anual,2003,74.434
melilla,indice general,media anual,2002,71.996
